HOST,CGIPATH,VULNERABLE,ERROR,WARNING,COMMAND1,STATUS1,REASON1,DELAY1,COMMAND2,STATUS2,REASON2,DELAY2,DELAY_DIFF
www.cgiscript.net,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.cgiscript.net,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.cgiscript.net,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.cgiscript.net,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.cgiscript.net,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.cgiscript.net,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.cgiscript.net,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.cgiscript.net,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
lectureswww.readthedocs.io,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
lectureswww.readthedocs.io,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
lectureswww.readthedocs.io,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
lectureswww.readthedocs.io,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
lectureswww.readthedocs.io,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
lectureswww.readthedocs.io,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
lectureswww.readthedocs.io,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
lectureswww.readthedocs.io,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.voentorga.ru,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.voentorga.ru,"/cgi-bin/cart32.exe,request cart32.exe/cart32clientlist",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.voentorga.ru,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.voentorga.ru,"/cgi-bin/classified.cgi,Check Phrack 55 for info by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.voentorga.ru,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.voentorga.ru,"/cgi-bin/download.cgi,v1 by Matt Wright; check info in Phrack 55 by RFP",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
www.voentorga.ru,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env sleep 9,,,,
www.voentorga.ru,"/cgi-bin/flexform.cgi,""Check Phrack 55 for info by RFP, allows to append info to writable files.""",False,True,False,normal request,,,,/usr/bin/env ping -c9 127.0.0.1,,,,
